Epoch,mse
1,0.00667112
2,0.00667112
3,0.00667112
4,0.00417006
5,0.00417006
6,0.00417006
7,0.00185238
8,0.00185238
9,0.00185238
10,0.00185238
11,0.00185238
12,0.00185238
13,0.00185238
14,0.00185238
15,0.00185238
16,0.00185238
17,0.00140199
18,0.00140199
19,0.00140199
20,0.00140199
21,0.00140199
22,0.00140199
23,0.00140199
24,0.00140199
25,0.00140199
26,0.00140199
27,0.00140199
28,0.00140199
29,0.00140199
30,0.00140199
31,0.00140199
32,0.00140199
33,0.00140199
34,0.00140199
35,0.00140199
36,0.00140199
37,0.00140199
38,0.00140199
39,0.00140199
40,0.00140199
41,0.00140199
42,0.00140199
43,0.00140199
44,0.00140199
45,0.00140199
46,0.00140199
47,0.00140199
48,0.00133135
49,0.00133135
50,0.00133135
51,0.00133135
52,0.00133135
53,0.00133135
54,0.00133135
55,0.00133135
56,0.00133135
57,0.00133135
58,0.00133135
59,0.00133135
60,0.00133135
61,0.00133135
62,0.00133135
63,0.00133135
64,0.00133135
65,0.00133135
66,0.00133135
67,0.00133135
68,0.00133135
69,0.00133135
70,0.00133135
71,0.00133135
72,0.00133135
73,0.00133135
74,0.00133135
75,0.00133135
76,0.00133135
77,0.00133135
78,0.00133135
79,0.00133135
80,0.00133024
81,0.00133024
82,0.00132957
83,0.00132957
84,0.00132957
85,0.00131301
86,0.00131301
87,0.00128763
88,0.00128763
89,0.00128679
90,0.00128679
91,0.00128679
92,0.00128679
93,0.0012566
94,0.0012566
95,0.0012566
96,0.0012566
97,0.0012566
98,0.0012566
99,0.0012566
100,0.0012566
101,0.0012566
102,0.0012566
103,0.0012566
104,0.0012566
105,0.00125238
106,0.00125238
107,0.00121472
108,0.00121472
109,0.00121472
110,0.00121472
111,0.00121472
112,0.00121472
113,0.00118247
114,0.00118247
115,0.00118247
116,0.00118247
117,0.00118247
118,0.00118247
119,0.00118247
120,0.00118247
121,0.00112271
122,0.00112271
123,0.00112271
124,0.00112271
125,0.00111082
126,0.00111082
127,0.00111082
128,0.00111082
129,0.00111082
130,0.00111082
131,0.00111082
132,0.00111082
133,0.00108002
134,0.00108002
135,0.00108002
136,0.00108002
137,0.00108002
138,0.00107423
139,0.00107423
140,0.00107423
141,0.00107423
142,0.00107423
143,0.00106089
144,0.00099363
145,0.00099363
146,0.00099363
147,0.00099363
148,0.00099363
149,0.00099363
150,0.00099363
151,0.00099363
152,0.00094653
153,0.00094247
154,0.00094247
155,0.00094247
156,0.00094247
157,0.00094247
158,0.00094247
159,0.00094247
160,0.00094247
161,0.00094247
162,0.00094247
163,0.00094247
164,0.00094247
165,0.00094247
166,0.00094247
167,0.00094247
168,0.00087978
169,0.00087978
170,0.00087978
171,0.00087978
172,0.00087978
173,0.00087541
174,0.00087541
175,0.00087541
176,0.00086971
177,0.00086971
178,0.00086971
179,0.00086971
180,0.00086971
181,0.00086971
182,0.00086971
183,0.00086971
184,0.00086971
185,0.00086971
186,0.00086971
187,0.00086971
188,0.00086971
189,0.00086971
190,0.00086971
191,0.00086971
192,0.00086971
193,0.00086971
194,0.00086971
195,0.00086971
196,0.00086971
197,0.00086971
198,0.00086971
199,0.00086971
200,0.00086971
201,0.00086971
202,0.00086971
203,0.00086971
204,0.00086971
205,0.00086971
206,0.00086971
207,0.00086971
208,0.00086971
209,0.00086971
210,0.00086971
211,0.00086971
212,0.00086839
213,0.00086839
214,0.00086839
215,0.00086632
216,0.00086632
217,0.00086632
218,0.00086632
219,0.00086415
220,0.00086415
221,0.00086415
222,0.00086415
223,0.00086114
224,0.00086114
225,0.00086114
226,0.00086098
227,0.00086098
228,0.00086098
229,0.0008241
230,0.0008241
231,0.0008241
232,0.0008241
233,0.00082152
234,0.00082152
235,0.00082152
236,0.00082152
237,0.00082152
238,0.00081453
239,0.00081453
240,0.00081453
241,0.00081453
242,0.00081453
243,0.00081453
244,0.00081453
245,0.00081453
246,0.00081453
247,0.00081453
248,0.00081453
249,0.00081453
250,0.00081453
251,0.00081453
252,0.00081453
253,0.00081453
254,0.00081453
255,0.00081453
256,0.00081453
