Epoch,mse
1,0.00519678
2,0.00463031
3,0.00324498
4,0.00139086
5,0.00110056
6,0.00109332
7,0.0010862
8,0.00108396
9,0.00104661
10,0.00104204
11,0.00104112
12,0.00103526
13,0.00103431
14,0.00099127
15,0.00098817
16,0.00097182
17,0.00096739
18,0.00093376
19,0.00090943
20,0.00090934
21,0.00090736
22,0.0009037
23,0.0009009
24,0.00089568
25,0.00088802
26,0.00088034
27,0.00087384
28,0.00086669
29,0.00086528
30,0.00086134
31,0.00085671
32,0.00085367
33,0.00085337
34,0.00083518
35,0.00081924
36,0.00081189
37,0.00078747
38,0.00078319
39,0.00077656
40,0.00076548
41,0.00076173
42,0.00076095
43,0.00076057
44,0.00076046
45,0.00076003
46,0.00075843
47,0.00075763
48,0.00075311
49,0.00074502
50,0.00073844
51,0.00073542
52,0.00073536
53,0.00073131
54,0.00073127
55,0.00073119
56,0.00073079
57,0.00072995
58,0.00072906
59,0.00072115
60,0.0007211
61,0.00071828
62,0.00071732
63,0.00070806
64,0.0007079
65,0.00070746
66,0.00070524
67,0.00070342
68,0.00069913
69,0.00068644
70,0.00068109
71,0.00067711
72,0.00067707
73,0.00067476
74,0.0006746
75,0.00067371
76,0.00066834
77,0.00066793
78,0.00066627
79,0.00066522
80,0.00066181
81,0.00066152
82,0.00066054
83,0.00066051
84,0.00066021
85,0.00066003
86,0.0006583
87,0.00065819
88,0.00065644
89,0.00065597
90,0.00065554
91,0.00065547
92,0.00065545
93,0.00065545
94,0.00065538
95,0.00065538
96,0.00065537
97,0.00065536
98,0.00065515
99,0.00065512
100,0.0006551
101,0.00065509
102,0.00065499
103,0.00065493
104,0.00065473
105,0.00065471
106,0.00065464
107,0.00065463
108,0.00065457
109,0.00065452
110,0.00065444
111,0.00065441
112,0.0006544
113,0.00065439
114,0.00065439
115,0.00065438
116,0.00065436
117,0.00065436
118,0.00065434
119,0.00065433
120,0.00065429
121,0.00065426
122,0.00065425
123,0.00065421
124,0.00065421
125,0.00065421
126,0.00065418
127,0.00065416
128,0.00065415
129,0.00065415
130,0.00065409
131,0.00065406
132,0.00065405
133,0.00065405
134,0.00065403
135,0.00065402
136,0.00065399
137,0.00065398
138,0.00065396
139,0.00065395
140,0.00065392
141,0.0006539
142,0.00065383
143,0.00065382
144,0.0006538
145,0.0006538
146,0.0006537
147,0.00065369
148,0.00065364
149,0.00065364
150,0.00065358
151,0.00065358
152,0.00065358
153,0.00065357
154,0.00065357
155,0.00065357
156,0.00065356
157,0.00065353
158,0.00065353
159,0.00065344
160,0.00065341
161,0.00065329
162,0.00065311
163,0.00065308
164,0.00065305
165,0.00065304
166,0.00065303
167,0.00065303
168,0.00065302
169,0.00065301
170,0.00065299
171,0.00065298
172,0.00065298
173,0.00065294
174,0.00065294
175,0.00065294
176,0.00065293
177,0.00065279
178,0.00065269
179,0.00065267
180,0.00065267
181,0.00065267
182,0.00065265
183,0.00065253
184,0.00065241
185,0.0006523
186,0.00065226
187,0.00065224
188,0.00065222
189,0.00065222
190,0.00065222
191,0.00065221
192,0.0006522
193,0.00065217
194,0.00065216
195,0.00065211
196,0.0006521
197,0.0006521
198,0.0006521
199,0.0006521
200,0.0006521
201,0.0006521
202,0.0006521
203,0.0006521
204,0.0006521
205,0.0006521
206,0.0006521
207,0.0006521
208,0.0006521
209,0.0006521
210,0.0006521
211,0.0006521
212,0.0006521
213,0.0006521
214,0.0006521
215,0.0006521
216,0.0006521
217,0.0006521
218,0.0006521
219,0.0006521
220,0.0006521
221,0.0006521
222,0.0006521
223,0.0006521
224,0.0006521
225,0.0006521
226,0.0006521
227,0.0006521
228,0.0006521
229,0.0006521
230,0.0006521
231,0.0006521
232,0.0006521
233,0.0006521
234,0.0006521
235,0.0006521
236,0.0006521
237,0.0006521
238,0.0006521
239,0.0006521
240,0.0006521
241,0.0006521
242,0.0006521
243,0.0006521
244,0.0006521
245,0.0006521
246,0.0006521
247,0.0006521
248,0.0006521
249,0.0006521
250,0.0006521
251,0.0006521
252,0.0006521
253,0.0006521
254,0.0006521
255,0.0006521
256,0.0006521
257,0.0006521
258,0.0006521
259,0.0006521
260,0.0006521
261,0.0006521
262,0.0006521
